     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       300,         6,         0,   0.860,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       600,        10,         0,    1.63,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       100,         2,         0,    1.09,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       100,         0,         0,    1.02,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       100,         3,         0,    1.61,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
       432,         7,         0,    1.25,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       214,         2,         0,   0.689,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
      3892,        26,         0,    31.1,belief_find,0637b8ea7962bd637755ee6a6b474c8513fa851bc8e65e92d91cdbca4e5be56c,"{""d"":9,""p"":0.003,""rounds"":9}",
       100,         2,         0,    1.04,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,         1,         0,    1.95,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,         0,         0,    1.90,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       252,        10,         0,   0.804,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       981,        14,         0,    2.86,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
      1800,        26,         0,    5.08,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       200,        12,         0,    3.23,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
       400,         6,         0,    3.58,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,        10,         0,    3.28,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
       400,         2,         0,    1.29,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       300,         4,         0,   0.990,bplsd,7ae040bc26a6c8b293fac249e7f47fd3116cc79445ed86d41b51387296896261,"{""d"":7,""p"":0.005,""rounds"":7}",
       600,         7,         0,    5.22,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       800,        15,         0,    6.67,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       400,         4,         0,    3.57,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       200,         4,         0,    1.82,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
      4200,         4,         0,    24.9,bplsd,62f20e98e723bf0eefcc7eee19fd018397d5e4ff7939cd299dd367991237abd2,"{""d"":9,""p"":0.003,""rounds"":9}",
       200,         3,         0,    1.91,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
      1200,        17,         0,    9.89,bposd,d439202f425b3de1cbdbd0d265b6f944fc8acfb6293d688de31ed6a47dcb2499,"{""d"":9,""p"":0.005,""rounds"":9}",
       600,        27,         0,    8.89,belief_find,4161e74b1d2e6040fe3fc0e516fe0281f810e8559c3cf2c06343292c06bff7a4,"{""d"":9,""p"":0.005,""rounds"":9}",
       300,         5,         0,    2.77,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
       600,        13,         0,    5.10,bplsd,bba88382ac0d44f036611ea7e565c5259bec738836ae355c6aabceaf427d4b78,"{""d"":9,""p"":0.005,""rounds"":9}",
